 #
 # random point set, exported from matlab.
 #
 # this point set is for a 2D-point space columns are index, x-coordinate
 # and the ny-coordinate.  First line gives number of points and dimensions
header point  50 2
 0 0.8147 0.2760
 1 0.9058 0.6797
 2 0.1270 0.6551
 3 0.9134 0.1626
 4 0.6324 0.1190
 5 0.0975 0.4984
 6 0.2785 0.9597
 7 0.5469 0.3404
 8 0.9575 0.5853
 9 0.9649 0.2238
10 0.1576 0.7513
11 0.9706 0.2551
12 0.9572 0.5060
13 0.4854 0.6991
14 0.8003 0.8909
15 0.1419 0.9593
16 0.4218 0.5472
17 0.9157 0.1386
18 0.7922 0.1493
19 0.9595 0.2575
20 0.6557 0.8407
21 0.0357 0.2543
22 0.8491 0.8143
23 0.9340 0.2435
24 0.6787 0.9293
25 0.7577 0.3500
26 0.7431 0.1966
27 0.3922 0.2511
28 0.6555 0.6160
29 0.1712 0.4733
30 0.7060 0.3517
31 0.0318 0.8308
32 0.2769 0.5853
33 0.0462 0.5497
34 0.0971 0.9172
35 0.8235 0.2858
36 0.6948 0.7572
37 0.3171 0.7537
38 0.9502 0.3804
39 0.0344 0.5678
40 0.4387 0.0759
41 0.3816 0.0540
42 0.7655 0.5308
43 0.7952 0.7792
44 0.1869 0.9340
45 0.4898 0.1299
46 0.4456 0.5688
47 0.6463 0.4694
48 0.7094 0.0119
49 0.7547 0.3371








 


